"ID","XCOORD","YCOORD","etopo1_ice"
162,136.75,37.25,184
163,137,37.25,114
205,136.75,37,-8
206,137,37,353
247,136.5,36.75,-76
248,136.75,36.75,69
249,137,36.75,8
250,137.25,36.75,3
290,136.5,36.5,4
291,136.75,36.5,195
292,137,36.5,418
293,137.25,36.5,292
331,136,36.25,-99
332,136.25,36.25,18
333,136.5,36.25,250
334,136.75,36.25,782
335,137,36.25,1033
336,137.25,36.25,965
374,136,36,467
375,136.25,36,14
376,136.5,36,164
377,136.75,36,1060
378,137,36,1034
379,137.25,36,1063
380,137.5,36,1351
413,135,35.75,-107
414,135.25,35.75,62
416,135.75,35.75,-107
417,136,35.75,57
418,136.25,35.75,462
419,136.5,35.75,1234
420,136.75,35.75,575
421,137,35.75,622
422,137.25,35.75,682
423,137.5,35.75,1349
449,133.25,35.5,-1
450,133.5,35.5,42
451,133.75,35.5,-8
452,134,35.5,67
453,134.25,35.5,85
454,134.5,35.5,646
455,134.75,35.5,131
456,135,35.5,145
457,135.25,35.5,324
458,135.5,35.5,126
459,135.75,35.5,5
460,136,35.5,638
461,136.25,35.5,141
462,136.5,35.5,763
463,136.75,35.5,98
464,137,35.5,128
465,137.25,35.5,584
466,137.5,35.5,310
467,137.75,35.5,1049
490,132.75,35.25,316
491,133,35.25,449
492,133.25,35.25,493
493,133.5,35.25,561
494,133.75,35.25,496
495,134,35.25,1013
496,134.25,35.25,423
497,134.5,35.25,1013
498,134.75,35.25,419
499,135,35.25,162
500,135.25,35.25,232
501,135.5,35.25,379
502,135.75,35.25,656
503,136,35.25,81
504,136.25,35.25,98
505,136.5,35.25,487
506,136.75,35.25,2
507,137,35.25,24
508,137.25,35.25,410
509,137.5,35.25,553
510,137.75,35.25,914
531,132.25,35,95
532,132.5,35,121
533,132.75,35,548
534,133,35,577
535,133.25,35,614
536,133.5,35,427
537,133.75,35,294
538,134,35,301
539,134.25,35,173
540,134.5,35,360
541,134.75,35,130
542,135,35,76
543,135.25,35,448
544,135.5,35,290
545,135.75,35,35
546,136,35,135
547,136.25,35,196
548,136.5,35,117
549,136.75,35,-5
550,137,35,10
551,137.25,35,221
552,137.5,35,355
553,137.75,35,598
572,131.75,34.75,-62
573,132,34.75,109
574,132.25,34.75,729
575,132.5,34.75,403
576,132.75,34.75,330
577,133,34.75,341
578,133.25,34.75,563
579,133.5,34.75,271
580,133.75,34.75,324
581,134,34.75,102
582,134.25,34.75,133
583,134.5,34.75,-10
584,134.75,34.75,-10
585,135,34.75,127
586,135.25,34.75,490
587,135.5,34.75,4
588,135.75,34.75,141
589,136,34.75,244
590,136.25,34.75,294
591,136.5,34.75,12
592,136.75,34.75,-35
593,137,34.75,-5
594,137.25,34.75,-9
595,137.5,34.75,46
596,137.75,34.75,10
597,138,34.75,120
613,131.25,34.5,-62
614,131.5,34.5,182
615,131.75,34.5,299
616,132,34.5,579
617,132.25,34.5,655
618,132.5,34.5,257
619,132.75,34.5,450
620,133,34.5,370
621,133.25,34.5,249
622,133.5,34.5,1
623,133.75,34.5,7
624,134,34.5,-28
625,134.25,34.5,243
626,134.5,34.5,-39
627,134.75,34.5,-31
628,135,34.5,-62
629,135.25,34.5,-18
630,135.5,34.5,54
631,135.75,34.5,64
632,136,34.5,460
633,136.25,34.5,509
634,136.5,34.5,87
635,136.75,34.5,6
636,137,34.5,-15
637,137.25,34.5,-55
654,130.75,34.25,-82
655,131,34.25,114
656,131.25,34.25,131
657,131.5,34.25,492
658,131.75,34.25,754
659,132,34.25,250
660,132.25,34.25,-17
661,132.5,34.25,-17
662,132.75,34.25,46
663,133,34.25,35
664,133.25,34.25,-23
665,133.5,34.25,-26
666,133.75,34.25,10
667,134,34.25,74
668,134.25,34.25,93
669,134.5,34.25,-29
670,134.75,34.25,44
671,135,34.25,-44
672,135.25,34.25,7
673,135.5,34.25,503
674,135.75,34.25,492
675,136,34.25,729
676,136.25,34.25,389
677,136.5,34.25,33
678,136.75,34.25,-30
695,130.25,34,-56
696,130.5,34,-62
697,130.75,34,-21
698,131,34,0
699,131.25,34,83
700,131.5,34,-10
701,131.75,34,-14
702,132,34,92
703,132.25,34,-23
704,132.5,34,-56
705,132.75,34,-39
706,133,34,126
707,133.25,34,-18
708,133.5,34,-17
709,133.75,34,483
710,134,34,716
711,134.25,34,426
712,134.5,34,100
713,134.75,34,-44
714,135,34,-71
715,135.25,34,358
716,135.5,34,972
717,135.75,34,693
718,136,34,294
719,136.25,34,162
736,129.75,33.75,14
737,130,33.75,-42
738,130.25,33.75,-38
739,130.5,33.75,30
740,130.75,33.75,24
741,131,33.75,9
742,131.25,33.75,-14
743,131.5,33.75,-20
744,131.75,33.75,-44
745,132,33.75,-46
746,132.25,33.75,-63
747,132.5,33.75,-43
748,132.75,33.75,208
749,133,33.75,958
750,133.25,33.75,1072
751,133.5,33.75,721
752,133.75,33.75,1156
753,134,33.75,648
754,134.25,33.75,624
755,134.5,33.75,213
756,134.75,33.75,-85
757,135,33.75,-99
758,135.25,33.75,-46
759,135.5,33.75,161
760,135.75,33.75,552
761,136,33.75,106
779,129.75,33.5,-40
780,130,33.5,-12
781,130.25,33.5,325
782,130.5,33.5,52
783,130.75,33.5,370
784,131,33.5,743
785,131.25,33.5,187
786,131.5,33.5,256
787,131.75,33.5,-11
788,132,33.5,-75
789,132.25,33.5,-51
790,132.5,33.5,117
791,132.75,33.5,374
792,133,33.5,1074
793,133.25,33.5,279
794,133.5,33.5,15
795,133.75,33.5,-22
796,134,33.5,184
797,134.25,33.5,116
803,135.75,33.5,117
821,129.5,33.25,-16
822,129.75,33.25,243
823,130,33.25,88
824,130.25,33.25,-13
825,130.5,33.25,15
826,130.75,33.25,320
827,131,33.25,326
828,131.25,33.25,656
829,131.5,33.25,320
830,131.75,33.25,-6
831,132,33.25,-88
832,132.25,33.25,-71
833,132.5,33.25,-18
834,132.75,33.25,296
835,133,33.25,421
836,133.25,33.25,-5
863,129.25,33,-11
864,129.5,33,-55
865,129.75,33,8
866,130,33,491
867,130.25,33,-14
868,130.5,33,44
869,130.75,33,39
870,131,33,900
871,131.25,33,572
872,131.5,33,186
873,131.75,33,230
874,132,33,-30
875,132.25,33,-98
876,132.5,33,-41
877,132.75,33,181
878,133,33,42
905,129,32.75,-14
907,129.5,32.75,-105
908,129.75,32.75,-20
909,130,32.75,-22
910,130.25,32.75,570
911,130.5,32.75,-19
912,130.75,32.75,4
913,131,32.75,679
914,131.25,32.75,460
915,131.5,32.75,1286
916,131.75,32.75,345
917,132,32.75,-96
919,132.5,32.75,-102
920,132.75,32.75,-53
921,133,32.75,321
950,129.5,32.5,-101
951,129.75,32.5,-68
952,130,32.5,-37
953,130.25,32.5,-21
954,130.5,32.5,-7
955,130.75,32.5,471
956,131,32.5,1332
957,131.25,32.5,578
958,131.5,32.5,193
959,131.75,32.5,-9
995,130,32.25,38
996,130.25,32.25,-40
997,130.5,32.25,148
998,130.75,32.25,182
999,131,32.25,476
1000,131.25,32.25,360
1001,131.5,32.25,235
1002,131.75,32.25,-114
1038,130,32,-58
1039,130.25,32,161
1040,130.5,32,207
1041,130.75,32,228
1042,131,32,191
1043,131.25,32,37
1044,131.5,32,-4
1081,130,31.75,-81
1082,130.25,31.75,122
1083,130.5,31.75,235
1084,130.75,31.75,10
1085,131,31.75,219
1086,131.25,31.75,548
1087,131.5,31.75,-8
1125,130.25,31.5,-19
1126,130.5,31.5,75
1127,130.75,31.5,368
1128,131,31.5,112
1129,131.25,31.5,39
